glottocode	longitude	latitude	dist2ocean	dist2lakes	dist2rivers	dist2water
here1252	20.57	-21.02	650.434887625606	95.9694954862559	302.781214907737	95.9694954862559
sgaw1245	97.71	17.99	94.4018367154881	30.7196440572488	4.27180627966336	4.27180627966336
nucl1310	93.97	20.79	76.2849225703521	15.7809487663448	47.3226091363515	15.7809487663448
cent1989	105.02	12.05	181.288590475717	0.463173062498916	19.6043042579064	0.463173062498916
monn1252	98.12	15.49	23.6175029669073	35.2589612801828	21.3890220049543	21.3890220049543
viet1252	105.77	20.68	87.8242721774529	5.59328678303509	17.3323941562184	5.59328678303509
mlab1235	101.16	18.55	440.315929557199	22.5897202486311	29.0947137625137	22.5897202486311
laoo1244	102.46	19	335.662728756734	9.12347463881502	0.944111257562471	0.944111257562471
thai1261	100.67	14.19	85.4584657168625	6.28067323746738	5.34684407423021	5.34684407423021
shan1277	98.03	21.6	481.909432301358	29.2494962062588	31.8044845707844	29.2494962062588
soca1235	12.53	3.68	296.369482601039	47.1255141273324	14.3938374238347	14.3938374238347
halh1238	106.29	48.32	1386.71471842184	13.8140630031544	62.3994525298246	13.8140630031544
solo1263	119.49	48.17	821.062505319413	23.9875955956171	120.03757357053	23.9875955956171
blackhmong	103.92	22.3	314.317329623725	23.6640598040471	18.9677630306939	18.9677630306939
ngal1292	133.94	-13.98	181.466500564189	74.8043143854185	108.470556940213	74.8043143854185
alya1239	136.84	-21.04	472.551755274236	197.781622931103	181.48168289951	181.48168289951
remb1249	134.31	-12.96	115.667429190979	45.1176671872306	108.017403195316	45.1176671872306
gami1243	149.54	-29.9	350.437941358476	12.7992129747906	22.2689990841138	12.7992129747906
kayt1238	133.6	-21.58	700.594509339756	124.085667434911	337.96677262467	124.085667434911
pint1250	130.64	-23.3	881.50241395172	120.571346374885	219.802522413523	120.571346374885
guda1242	134.73	-17.42	236.18599050264	96.4003188417434	122.944802057869	96.4003188417434
wikm1247	141.82	-13.98	29.6279083712557	18.2570363557752	19.3452006134931	18.2570363557752
yuul1239	135.9	-12.7	31.148296426488	25.2413496722993	38.0028348962949	25.2413496722993
adny1235	138.65196	-30.609369	213.043909246134	22.6761455897045	217.109025712146	22.6761455897045
alaw1244	134.459692	-15.460038	118.956435284961	104.459025111264	70.4656045522013	70.4656045522013
badi1246	117.551698	-28.464884	261.680620600141	56.9579314469863	268.937374347891	56.9579314469863
bard1255	122.933671	-16.64414	16.3565928493417	45.6340019662384	122.391003080483	16.3565928493417
bayu1240	113.88269	-23.854626	37.518049243806	5.2475913625358	102.494363500665	5.2475913625358
bili1250	130.751296	-16.834598	211.576376833191	95.873680509369	58.3695244245028	58.3695244245028
buna1275	125.708644	-17.701102	152.32865362895	140.980178729979	34.7987558574849	34.7987558574849
bura1267	134.579826	-12.20424	31.7745948836391	31.9316659340665	88.269145208113	31.7745948836391
burd1238	115.053485	-23.462142	124.770792160695	54.2727079804172	110.576620435899	54.2727079804172
darl1243	142.510907	-32.801982	409.809032640784	14.7533210648206	41.8216394730977	14.7533210648206
dhal1245	114.576484	-22.645518	22.1605825791401	41.735919427381	101.742565044205	22.1605825791401
dhan1270	135.75	-11.95	18.7251908806725	3.37142883880713	70.3269005735308	3.37142883880713
dhar1247	115.59019	-24.103312	195.152661169992	143.686649212514	168.458638745443	143.686649212514
djau1244	132.860985	-13.919553	151.277318379666	77.9610741060378	63.4205994682508	63.4205994682508
djin1253	134.814753	-12.220231	33.1105454789202	40.0568843193231	67.3159598696677	33.1105454789202
djiw1241	116.247889	-23.435413	207.146238053621	163.946756882128	83.0933101287235	83.0933101287235
dyaa1242	145.503712	-16.760801	29.9960958000764	13.2760398202349	25.3566117477097	13.2760398202349
erre1238	132.949648	-12.357651	52.486976099152	6.87977957856938	23.6550535696355	6.87977957856938
gami1243	150.080156	-30.864312	258.670746746527	40.2369332267396	90.7998859358146	40.2369332267396
gupa1247	135.800677	-12.489152	26.8301406437906	7.5787129928653	44.1082863042503	7.5787129928653
gura1252	134.294174	-12.22458	36.2300981330918	1.7970838317211	83.2852843449421	1.7970838317211
gurd1238	142.003562	-16.966976	70.5644568854035	52.5265072434348	93.4659628086671	52.5265072434348
guri1247	130.550451	-17.569568	281.830205716829	43.0242395052997	32.6303385521034	32.6303385521034
iwai1244	132.765931	-11.587917	2.25360240410168	50.5506789024229	39.7717709864839	2.25360240410168
kara1476	122.305377	-18.982888	42.665314732204	191.621781066009	251.653998067197	42.665314732204
kuka1246	127.194938	-20.417286	469.104145783168	20.350911411679	190.936805408689	20.350911411679
kuku1273	145.04087	-16.123311	41.0777022859734	32.9807515227652	37.2296231074285	32.9807515227652
lara1258	130.884252	-12.592844	12.3668033520347	12.8337322740355	33.2934237031603	12.3668033520347
lard1243	139.404103	-16.555193	7.12893858017986	25.826059515421	54.6637978374543	7.12893858017986
mang1382	132.925804	-12.153366	31.576341076679	16.6571430661651	15.8470288722887	15.8470288722887
mara1385	135.512859	-15.380854	9.23103618193301	78.4992946277303	69.3586152413141	9.23103618193301
maun1240	133.361102	-11.815083	28.7216191596018	15.3917722997496	20.6237264265113	15.3917722997496
muru1266	146.994851	-28.863221	609.706610043318	34.164497953538	73.647589865841	34.164497953538
naka1260	134.42581	-12.12184	23.7245825269768	18.0454508928208	93.7728498933891	18.0454508928208
ngad1258	124.06432	-31.998006	117.596857694578	82.6214870204466	420.154052056442	82.6214870204466
ngan1295	135.150681	-14.023335	60.5362177996212	49.2019433812901	54.2072531861383	49.2019433812901
