glottocode;language;colexification;exists_blue;macroarea;latitude;longitude;family;glottocode_family;status;to_lookin_glotto;subsistence;popsize_ethno;popsize_wiki
lard1243;Lardil;NA;no;Australia;-16.555193;139.404103;Tangkic;tang1340;alive;ok;HG;2;65
mang1382;Mangerr;NA;no;Australia;-12.153366;132.925804;Giimbiyu;giim1238;just_extinct;ok;HG;1;0
mara1385;Marra;NA;no;Australia;-15.380854;135.512859;Mangarrayi-Maran;mang1423;alive;ok;HG;15;8
maun1240;Mawng;NA;no;Australia;-11.815083;133.361102;Iwaidjan Proper;iwai1246;alive;ok;HG;240;371
muru1266;Muruwari;NA;yes;Australia;-28.863221;146.994851;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
naka1260;Nakara;NA;no;Australia;-12.12184;134.42581;Maningrida;mani1293;alive;ok;HG;75;58
ngad1258;Ngadjunmaya;NA;yes;Australia;-31.998006;124.06432;Pama-Nyungan;pama1250;just_extinct;ok;HG;10;0
ngan1295;Ngandi;NA;no;Australia;-14.023335;135.150681;Gunwinyguan;gunw1250;just_extinct;ok;HG;0;0
ngar1284;Ngarinyin;NA;yes;Australia;-16.046993;126.020819;Worrorran;worr1236;alive;ok;HG;88;38
ngar1296;Ngarla;NA;no;Australia;-20.276244;119.448936;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
nugu1241;Nugunu (Australia);NA;no;Australia;-32.830927;138.253839;Pama-Nyungan;pama1250;just_extinct;ok;HG;0;0
nyam1271;Nyamal;NA;no;Australia;-21.328174;119.768753;Pama-Nyungan;pama1250;alive;ok;HG;20;34
nyan1301;Nyangumarta;NA;no;Australia;-20.574666;121.876871;Pama-Nyungan;pama1250;alive;ok;HG;260;211
pini1245;Lake Carnegie Western Desert;NA;no;Australia;-28.5;112;Pama-Nyungan;pama1250;alive;ok;HG;0;0
thay1249;Thayore;NA;yes;Australia;-14.84318;141.851149;Pama-Nyungan;pama1250;alive;ok;HG;150;205
tiwi1244;Tiwi;NA;no;Australia;-11.558449;130.812402;Tiwi;tiwi1244;alive;ok;HG;1830;2040
urni1239;Urningangg;NA;no;Australia;-12.50036;133.023963;Giimbiyu;giim1238;just_extinct;ok;HG;0;0
wadj1254;Wadjiginy;NA;no;Australia;-13.204044;130.243534;Wadjiginy;wadj1254;alive;ok;HG;12;5
wage1238;Wageman;NA;no;Australia;-13.930709;131.13272;Wageman;wage1238;alive;ok;HG;11;11
waja1257;Wajarri;NA;no;Australia;-26.172012;117.2694;Pama-Nyungan;pama1250;alive;ok;HG;50;20
walm1241;Walmajarri;NA;no;Australia;-19.69025;125.748475;Pama-Nyungan;pama1250;alive;ok;HG;860;283
