glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
gura1252	-12.22458	134.294174	134.294174	20082	19768	20275	20197	18678	17998	18967	20628	22778	23563	23186	21194	1781.79544280481	20609.5
gurd1238	-16.966976	142.003562	142.003562	22729	21137	20864	19343	17301	16589	18088	20333	23534	24959	24492	23318	2819.72281439151	21057.25
guri1247	-17.569568	130.550451	130.550451	23619	22796	22553	21623	19018	17890	19007	21389	24005	25103	25246	24408	2490.23217093337	22221.4166666667
iwai1244	-11.587917	132.765931	132.765931	19382	19147	19955	20278	18806	18148	19040	20730	22374	22886	22223	20502	1527.13338853017	20289.25
kara1476	-18.982888	122.305377	122.305377	25251	23340	22829	21183	17738	16600	17762	20686	24031	26731	28104	26871	3861.1389943038	22593.8333333333
kuka1246	-20.417286	127.194938	127.194938	25644	24210	23309	21191	17844	16597	17804	20570	23792	25999	26905	26603	3663.21401355298	22539
kuku1273	-16.123311	145.04087	145.04087	21555	19347	19168	17843	16561	15320	16661	18742	22368	23917	23283	22231	2869.96475535322	19749.6666666667
lara1258	-12.592844	130.884252	130.884252	19566	19022	20126	20935	19424	18776	19729	21548	23165	23923	23335	20960	1773.09078499049	20875.75
lard1243	-16.555193	139.404103	139.404103	22571	21216	21023	19955	17917	17113	18420	20596	23584	24671	24303	23236	2532.29728465652	21217.0833333333
mang1382	-12.153366	132.925804	132.925804	19835	19497	20311	20478	18943	18251	19274	21035	22838	23636	23377	21221	1764.49834917532	20724.6666666667
mara1385	-15.380854	135.512859	135.512859	22214	21333	21540	20811	18822	17948	19029	21182	23635	24461	24260	22899	2130.0535560204	21511.1666666667
maun1240	-11.815083	133.361102	133.361102	19607	19346	20119	20272	18769	18106	19009	20695	22518	23337	22863	20911	1683.39134613506	20462.6666666667
muru1266	-28.863221	146.994851	146.994851	26060	23682	20988	16748	12633	11200	12100	15391	19591	22655	25628	27146	5752.25890543459	19485.1666666667
naka1260	-12.12184	134.42581	134.42581	20125	19799	20315	20174	18649	18036	18850	20533	22589	23612	23505	21446	1827.68594170748	20636.0833333333
