glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
djau1244	-13.919553	132.860985	266	136	58	2777	371	138	233	281	225	297	225	1173	274	1	107	755	7	341	7	1.46330273167348	-2.9741570985385	0.446912491059485	132.860985
djin1253	-12.220231	134.814753	270	93	59	1830	338	181	157	281	248	290	242	1174	268	1	109	782	4	497	8	2.00520916601695	-2.23506425795352	0.620403992568636	134.814753
djiw1241	-23.435413	116.247889	247	155	49	5668	405	91	314	313	244	315	171	274	62	2	85	145	6	119	64	-0.289768830001157	-3.82457084981873	-1.55475940905213	116.247889
dyaa1242	-16.760801	145.503712	228	93	58	2398	303	143	160	252	215	255	194	2041	418	36	82	1183	122	968	157	2.60648814481648	-0.0362246694943359	2.06821351172742	145.503712
erre1238	-12.357651	132.949648	279	114	61	1703	366	182	184	285	253	298	253	1461	347	1	110	984	7	368	7	2.39825611872777	-2.63067461963618	0.883594222556041	132.949648
gami1243	-30.864312	150.080156	181	146	49	5518	329	32	297	249	108	249	108	637	95	34	32	232	111	232	111	-1.15604273171852	-1.26415908162419	-1.36036817117633	150.080156
gupa1247	-12.489152	135.800677	268	92	61	1812	336	187	149	280	245	288	241	1319	305	2	106	858	8	541	14	2.23492516670374	-2.03044505775554	0.862193224574229	135.800677
gura1252	-12.22458	134.294174	269	97	60	1862	337	176	161	280	247	289	241	1230	295	0	111	821	1	513	3	2.06815269739908	-2.25215682038905	0.829055314005247	134.294174
gurd1238	-16.966976	142.003562	270	131	58	2779	371	147	224	289	241	301	229	927	268	1	123	676	6	455	7	1.56363526092095	-3.18163302490134	0.605740560267096	142.003562
guri1247	-17.569568	130.550451	262	151	54	4282	381	103	278	295	199	307	199	581	137	2	101	371	12	269	12	0.335054299986746	-3.51305493711486	-0.564467271403955	130.550451
iwai1244	-11.587917	132.765931	275	91	61	1535	343	194	149	281	257	291	251	1339	315	0	108	894	5	295	6	2.24977620208695	-2.29805456443854	0.549274870085334	132.765931
kara1476	-18.982888	122.305377	264	130	55	3639	356	123	233	298	245	300	210	496	155	2	123	371	6	338	23	0.711489700061622	-3.39044601061947	-0.247050687292576	122.305377
kuka1246	-20.417286	127.194938	269	150	52	5017	399	112	287	321	217	322	198	285	72	2	96	177	10	128	16	0.0559735878932685	-3.96732789216243	-1.37077692109418	127.194938
kuku1273	-16.123311	145.04087	227	100	60	2245	305	140	165	247	201	251	194	1549	344	17	93	966	61	576	74	1.73864417465791	-0.997549486411622	1.2418163764461	145.04087
