glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
alor1247	-8.210253	124.376706	268	74	71	708	315	212	103	269	258	276	258	1132	231	3	85	623	25	496	25	2.20732532609613	-1.56950732317684	-0.12869234988924	124.376706
alor1247	-8.218032	124.229612	266	75	72	660	313	210	103	267	256	274	256	1140	236	3	86	635	24	503	24	2.20888486172208	-1.54948505500927	-0.0645067841340349	124.229612
amba1266	-11.2958	166.498	268	62	83	437	306	232	74	271	271	272	261	4924	508	343	10	1345	1117	1199	1287	7.4559613806545	6.5264248826501	-0.684091298924021	166.498
anci1242	39.8155	21.9129	103	112	35	6956	280	-36	316	29	189	193	15	716	86	27	31	245	100	106	224	-2.86655920215019	0.394382618884784	-1.39386119804409	21.9129
anci1242	37.696861	23.999205	179	76	30	6135	316	70	246	122	260	260	106	402	74	3	72	195	12	12	180	-1.53845686355997	-1.20928903807244	-1.54149891374514	23.999205
andi1255	42.81	46.29	37	97	30	7860	206	-116	322	117	-65	136	-65	775	126	20	55	343	68	314	68	-4.0282502345344	1.19429431833487	0.63368085152383	46.29
andi1255	42.8078	46.2919	37	97	30	7860	206	-116	322	117	-65	136	-65	775	126	20	55	343	68	314	68	-4.0282502345344	1.19429431833487	0.63368085152383	46.2919
anut1237	-11.61	169.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	169.85
apat1240	27.12	93.44	191	103	44	4396	280	51	229	240	136	240	128	2221	421	9	85	1223	53	1223	54	1.37244445339081	0.125061563133705	3.32339743323889	93.44
arao1248	-12.4242	292.2707	259	111	71	1000	334	178	156	265	245	268	244	1727	283	42	58	759	135	403	167	2.37504770111607	-0.978702242181796	-0.395186298164606	-67.7293
arch1244	42	46.8333	-21	103	33	7188	142	-170	312	49	-114	68	-114	747	128	17	58	340	63	291	63	-5.07668406437165	2.07840609730506	1.05129714362004	46.8333
arch1244	42.3239	46.8267	44	94	30	7563	207	-106	313	119	-55	138	-55	719	118	18	54	315	63	280	63	-3.96141302839133	1.10790255939364	0.460873511054253	46.8267
area1240	-9.20699	161.158	253	73	83	435	296	209	87	257	249	257	246	3293	415	180	26	1162	652	1048	693	5.14249515512674	3.40589556537457	-0.010148751559792	161.158
aros1241	-10.2441	161.432	260	74	84	420	302	214	88	264	258	264	253	3275	381	193	21	1077	660	972	754	5.17264633742385	3.39191309718114	-0.539964960739571	161.432
asum1237	-11.2969	166.499	268	62	83	437	306	232	74	271	271	272	261	4924	508	343	10	1345	1117	1199	1287	7.4559613806545	6.5264248826501	-0.684091298924021	166.499
atim1239	-8.226	124.6683	243	72	70	682	291	189	102	246	233	250	233	1327	246	9	79	705	47	598	47	1.98995485358304	-0.823470632060055	0.263000543985799	124.6683
avar1256	41.7	46.56	103	94	29	7796	271	-47	318	141	1	201	1	785	119	28	41	307	98	261	98	-2.93109826508025	0.492168241735913	-0.281829169854401	46.56
avar1256	41.7047	46.558	103	94	29	7796	271	-47	318	141	1	201	1	785	119	28	41	307	98	261	98	-2.93109826508025	0.492168241735913	-0.281829169854401	46.558
axiy1235	27.16	105.61	129	77	29	6360	258	1	257	206	40	206	40	1088	189	19	72	541	58	541	58	-1.60602024286409	0.281793344690693	0.967221560974869	105.61
ayor1240	-19.220055	299.782505	249	132	65	2509	342	140	202	268	215	274	212	808	118	14	55	335	62	314	84	0.742947678375308	-2.06864119711727	-1.3297383198649	-60.217495
baba1268	-7.22281	157.149	255	65	85	428	295	219	76	258	254	259	248	3614	415	237	19	1173	763	941	829	5.59489632619642	4.25471756543419	-0.600173886835707	157.149
baba1268	-7.22281	157.149	255	65	85	428	295	219	76	258	254	259	248	3614	415	237	19	1173	763	941	829	5.59489632619642	4.25471756543419	-0.600173886835707	157.149
baeg1237	-8.49014	160.771	249	71	83	443	292	207	85	253	245	253	242	3445	441	188	27	1233	671	1115	709	5.30966658508633	3.70127908350665	0.264401593931195	160.771
bael1237	-8.41627	160.721	261	71	85	398	302	219	83	264	257	265	255	3323	428	180	28	1198	644	1083	678	5.40046094732438	3.30502773500485	0.0975456330425792	160.721
bagv1239	42.3966	46.1041	3	102	32	7306	166	-146	312	74	-92	94	-92	835	135	21	56	372	71	335	71	-4.53867641772058	1.81824478604105	0.968063019208051	46.1041
baka1276	-8.2634	124.2972	249	74	71	687	296	193	103	253	239	257	239	1263	251	6	84	690	33	573	33	2.05053451004815	-1.09522611855643	0.259833532892925	124.2972
bash1264	53.6	56.56	31	110	23	12681	265	-198	463	185	-54	185	-137	483	58	24	25	162	83	162	99	-5.07148719576166	0.586018318983434	-0.2594439804939	56.56
basq1248	43.28	358.68	122	92	40	4892	244	17	227	68	183	185	60	1243	151	63	21	401	239	251	375	-1.38700563174678	1.71178656550978	-1.26928933532964	-1.32
basq1248	43.2787	358.68378	122	92	40	4892	244	17	227	68	183	185	60	1243	151	63	21	401	239	251	375	-1.38700563174678	1.71178656550978	-1.26928933532964	-1.31622
bata1314	9.68091	12.677	275	132	59	2028	387	166	221	258	264	307	258	910	225	0	106	585	0	141	585	1.7264052609979	-2.80151226023009	-0.885500128120225	12.677
bats1242	42.1806	45.344	68	104	32	7612	235	-84	319	143	-32	163	-32	930	140	31	46	380	107	343	107	-3.24493132079966	0.983571645101348	0.33434435332817	45.344
batu1258	-5.735916	134.812861	266	72	76	780	314	220	94	271	260	273	254	2339	274	99	29	787	352	673	484	3.65727892312017	1.22256920980549	-0.955786377010187	134.812861
baur1252	-10.5826	161.863	237	73	82	525	282	193	89	243	235	243	229	3740	414	233	18	1173	771	1173	907	5.3957720709273	4.68178308526046	-0.143606971686748	161.863
bela1254	53.23	25.6	63	83	26	8416	227	-90	317	168	-39	168	-47	652	83	29	29	235	109	235	119	-3.71063750814274	1.20473512379119	-0.313504612156905	25.6
beng1280	24	90	256	96	42	3751	346	119	227	285	197	286	197	1913	358	6	84	1020	34	714	34	1.79723342464751	-1.31493917798335	1.6342774615985	90
beng1280	23.7805733	90.2792399	259	95	42	3677	345	122	223	287	201	289	201	1991	371	7	83	1048	35	761	35	1.95994547323183	-1.24459984439581	1.75210397818168	90.2792399
bezh1248	42.0833	46.1667	7	102	33	7167	168	-140	308	76	-86	95	-86	811	133	20	56	361	70	319	70	-4.47169616536183	1.74555677731186	0.886268596714619	46.1667
bezh1248	42.1206	46.0332	26	102	32	7238	188	-122	310	96	-68	116	-68	840	134	22	54	367	74	329	74	-4.10402768242977	1.47719068432825	0.741827140183647	46.0332
biak1248	-1.003358	135.815912	267	74	90	214	309	227	82	267	269	269	264	2610	247	175	10	726	557	583	661	4.30034700746019	2.41624587729779	-2.0809252128606	135.815912
biak1248	-0.9523	135.879	262	74	90	199	304	222	82	261	263	263	259	2633	247	177	10	728	566	586	658	4.21975571874975	2.54106145140057	-2.04267533371371	135.879
biao1254	25.82286	111.29622	153	74	25	7386	295	10	285	191	74	243	54	1552	269	54	51	691	186	499	203	-0.80849182788304	0.901364724097182	0.638229262175065	111.29622
bilu1245	-7.92388	156.663	267	67	87	403	308	231	77	270	266	271	261	3737	408	251	17	1145	792	943	956	5.97760829911488	4.33238552704887	-0.920154252392096	156.663
bima1247	-8.53818	118.843333	228	106	77	676	292	155	137	231	219	234	217	1922	371	16	82	1031	60	532	74	2.27326006112932	-0.72164817449232	1.1143708613124	118.843333
bino1238	-5.961514	124.027918	266	76	74	584	316	214	102	268	260	272	257	1649	238	20	54	655	92	444	152	2.52387597595377	-0.765600071393053	-0.65051262108487	124.027918
bira1254	-9.73716	160.52	241	76	83	491	286	195	91	245	234	246	233	2851	386	145	33	1074	504	955	525	4.29756442597555	2.61929883066109	0.127964681404096	160.52
bitt1240	21.3474	101.916	210	117	55	3115	298	88	210	240	164	241	164	1652	351	11	87	959	71	793	71	1.24401129927488	-0.767355632464366	1.79013277333386	101.916
biyo1243	22.511	101.652	188	114	52	3555	278	61	217	224	149	224	136	1821	398	21	84	1034	77	1034	82	1.15907856290904	-0.0500212915736671	2.51773236420637	101.652
blab1237	-8.15058	159.419	250	72	85	410	293	209	84	254	244	254	244	3104	411	168	31	1154	572	1033	590	4.90435437584504	3.02904800950898	0.166597850327768	159.419
blag1240	-8.31787	124.251	249	74	71	687	296	193	103	253	239	257	239	1263	251	6	84	690	33	573	33	2.05053451004815	-1.09522611855643	0.259833532892925	124.251
blag1240	-8.3672	124.2409	245	74	71	708	293	189	104	248	234	253	234	1280	258	6	86	707	32	588	32	2.00690371187348	-1.0312740206521	0.382978869073068	124.2409
blag1240	-8.2056	124.2907	253	74	71	686	300	197	103	256	242	260	242	1242	247	5	84	673	31	557	31	2.0737012349643	-1.18719778281296	0.17964076654654	124.2907
blan1242	22.0092	99.7405	193	126	52	3258	292	53	239	224	156	225	145	1446	288	11	84	788	39	667	47	0.37981186884634	-0.935185979068911	1.32861901766308	99.7405
boga1251	10.188	12.936	248	136	61	1926	360	140	220	233	234	278	232	947	257	0	111	630	0	135	2	1.02149177527471	-3.00083740202901	-0.0609296249853637	12.936
boly1239	24.7013	104.955	181	97	40	5212	285	45	240	239	106	239	106	1221	230	15	80	666	58	666	58	-0.268168556979451	-0.528271077363205	1.11643672572554	104.955
botl1242	42.665	46.22	68	96	29	8107	240	-87	327	150	-38	170	-38	752	121	23	50	321	78	292	78	-3.51543035836293	0.738275994253734	0.251955531804001	46.22
bret1244	48.25	356.21	109	64	37	3966	202	31	171	69	157	161	59	1016	130	46	31	367	161	188	349	-1.70687159708813	1.92495441177016	-1.1098094522494	-3.79
bret1244	47.995619	355.897136	114	63	38	3734	203	38	165	76	159	163	67	1055	137	46	32	389	169	201	364	-1.51354959576393	1.92938431554608	-1.07789881270971	-4.102864
bret1244	48.2452	356.21066	109	64	37	3966	202	31	171	69	157	161	59	1016	130	46	31	367	161	188	349	-1.70687159708813	1.92495441177016	-1.1098094522494	-3.78934
budu1248	41.18169	48.371	58	92	30	7116	213	-87	300	93	-35	146	-35	496	79	16	46	204	57	158	57	-4.06610146383303	0.924915005761863	-0.23892208280741	48.371
budu1248	41.2272	48.3353	58	92	30	7116	213	-87	300	93	-35	146	-35	496	79	16	46	204	57	158	57	-4.06610146383303	0.924915005761863	-0.23892208280741	48.3353
bugh1239	-8.47948	159.802	263	73	85	375	305	220	85	266	258	266	257	2842	391	145	34	1091	494	971	511	4.77584532391629	2.28312202252371	0.0344255468894261	159.802
bulg1262	42.7	23.8	91	97	31	7449	250	-56	306	165	4	183	-8	631	81	38	26	220	122	190	130	-3.14138904899125	0.781704105808443	-0.788300331837334	23.8
bulg1262	42.698586	23.3535	103	100	32	7503	263	-47	310	178	17	195	3	585	75	32	27	204	107	176	117	-3.00275970456915	0.422704214331101	-0.892323156788743	23.3535
bulg1262	43.3646	25.047	114	104	30	8224	289	-47	336	199	18	216	4	575	76	37	26	201	114	172	123	-2.89489696454685	0.121728056357705	-0.983991238150338	25.047
buna1278	-9.033683	125.323406	215	73	66	1034	268	158	110	222	202	225	199	2070	358	18	72	1035	85	633	138	2.13632368251856	0.262129452336104	1.21337879777632	125.323406
buna1278	-9.221923	125.225417	235	74	66	1026	287	176	111	243	221	246	220	1878	328	15	71	918	78	798	143	2.41455209407283	-0.0933480763207683	1.04595445093206	125.225417
bura1292	10.4822	12.3007	248	140	60	2038	363	130	233	236	228	278	227	882	251	0	116	610	0	110	1	0.876258942275899	-3.15855862431851	-0.0537637329444876	12.3007
buri1258	51.83	107.6	-14	123	22	14834	248	-294	542	170	-180	170	-216	278	75	2	99	182	10	182	20	-6.48972983227941	-0.220849958948513	1.45001565334222	107.6
buru1296	36.22	74.82	45	103	26	9563	239	-143	382	37	-3	164	-84	148	26	3	54	70	15	32	27	-5.20800861323986	0.264738971229772	-0.566824985218539	74.82
