glottocode;language;colexification;exists_blue;macroarea;latitude;longitude;family;glottocode_family;status;to_lookin_glotto;subsistence;popsize_ethno;popsize_wiki
vari1239;Varisi;none;yes;Papunesia;-6.83443;156.655;Austronesian;aust1307;alive;ok;NA;5160;5200
veps1250;Veps;none;yes;Eurasia;60.34;34.79;Uralic;ural1272;alive;ok;AGR;5750;3600
viet1252;Vietnamese;none;yes;Eurasia;10.5;106.5;Austroasiatic;aust1305   ;alive;ok;AGR;68634000;76000000
viet1252;Vietnamese;none;yes;Eurasia;20.681188;105.774071;Austroasiatic;aust1305   ;alive;ok;AGR;68634000;76000000
vlax1238;Romani;none;yes;Eurasia;46.09;18.16;Indo-European;indo1319;alive;ok;AGR;242000;538480
waiw1244;Wai Wai;none;yes;South America;1.50881;-59.1417;Cariban;cari1283;alive;ok;AGR;3110;2200
wala1266;Langalanga;none;yes;Papunesia;-8.81936;160.741;Austronesian;aust1307;alive;ok;NA;6980;7000
wali1265;Cia-Cia  Wali;none;yes;Papunesia;-5.97238;124.06653;Austronesian;aust1307;alive;ok;NA;NA;NA
wamb1259;Wambon;none;yes;Papunesia;-5.44334;140.48;Nuclear Trans New Guinea;nucl1709;alive;ok;AGR;3000;3000
wand1278;Mandara;none;yes;Africa;11.3169;13.8996;Afro-Asiatic;afro1255;alive;ok;AGR;43500;44000
wang1299;Wanggom;none;yes;Papunesia;-5.60094;140.194;Nuclear Trans New Guinea;nucl1709;alive;ok;HG;1180;1180
waor1240;Waorani;green  yellow;no;South America;-1.12312;-76.683;Waorani;waor1240;alive;ok;HG;1650;1650
wapi1253;Wapishana;green  unripe;no;South America;2.58744;-59.8021;Arawakan;araw1281;alive;ok;AGR;12500;13000
waur1244;Waur?í;black;mixed_with;South America;-13.296;-53.6971;Arawakan;araw1281;alive;ok;AGR;330;320
waya1270;Wayampi;none;yes;South America;1.73817;-52.6887;Tupian;tupi1275;alive;ok;AGR;1180;1200
wayu1243;Goajiro;green  unripe;no;South America;11.395566;-72.199791;Arawakan;araw1281;alive;ok;AGR;305000;420000
wels1247;Welsh;green;no;Eurasia;52;-4;Indo-European;indo1319;alive;ok;AGR;537870;1004000
wels1247;Welsh;green;no;Eurasia;52.926407;-4.38518;Indo-European;indo1319;alive;ok;AGR;537870;1004000
wers1238;Wersing;none;yes;Papunesia;-8.33936;124.932;Timor-Alor-Pantar;timo1261;alive;ok;AGR;3700;3700
wers1238;Wersing  Maritaing;none;yes;Papunesia;-8.2968139;125.1093111;Timor-Alor-Pantar;timo1261;alive;ok;AGR;3700;3700
wers1238;Wersing  Taramana;none;yes;Papunesia;-8.167276;124.850714;Timor-Alor-Pantar;timo1261;alive;ok;AGR;3700;3700
west2369;Persian;none;yes;Eurasia;32.735314;55.748043;Indo-European;indo1319;alive;ok;AGR;23879300;55600000
west2369;Persian;none;yes;Eurasia;32.9;53.3;Indo-European;indo1319;alive;ok;AGR;23879300;55600000
west2369;Western Farsi;none;yes;Eurasia;28.66;55.16;Indo-European;indo1319;alive;ok;AGR;23879300;55600000
west2376;Selice Romani;none;yes;Eurasia;48.091;17.9609;Indo-European;indo1319;alive;ok;NA;NA;NA
west2386;Punjabi;none;yes;Eurasia;30.0948;75.3474;Indo-European;indo1319;alive;ok;AGR;62648000;92700000
west2392;Hill Mari;none;yes;Eurasia;56.33;46.33;Uralic;ural1272;alive;ok;AGR;30000;30000
west2415;Tamang (Sahu);none;yes;Eurasia;28.0239;85.0563;Sino-Tibetan;sino1245;alive;ok;AGR;323000;323000
west2430;Xiangxi  West;none;yes;Eurasia;28.33212;109.422366;Hmong-Mien;hmon1336;alive;ok;AGR;820000;820000
west2547;Welaun;green;no;Papunesia;-9.087594;124.985028;Austronesian;aust1307;alive;ok;NA;NA;NA
west2547;Welaun  Mahein;none;yes;Papunesia;-9.0539;125.0606;Austronesian;aust1307;alive;ok;NA;NA;NA
weta1243;Wetan;green;no;Papunesia;-7.89949;129.538524;Austronesian;aust1307;alive;ok;NA;NA;NA
wich1264;Wich?¡;green;no;South America;-22.5;-62.5833;Matacoan;mata1289;alive;ok;HG;15000;15000
wich1264;Wich?¡;green;no;South America;-23.1633;-62.1757;Matacoan;mata1289;alive;ok;HG;15000;15000
woli1241;Wolio;none;yes;Papunesia;-5.33;122.67;Austronesian;aust1307;alive;ok;AGR;65000;65000
woli1241;Wolio  Baubau;none;yes;Papunesia;-5.462439;122.59634;Austronesian;aust1307;alive;ok;AGR;65000;65000
xian1250;Xiangyun;none;yes;Eurasia;25.5313657;100.4478932;Sino-Tibetan;sino1245;alive;ok;NA;NA;NA
xish1235;Qingyun;green;no;Eurasia;24.8709;100.711;Sino-Tibetan;sino1245;alive;ok;AGR;300000;300000
xish1235;Yi (Nanjian);none;yes;Eurasia;25.19;101.27;Sino-Tibetan;sino1245;alive;ok;AGR;300000;300000
xuzh1234;Xuzhang;none;yes;Eurasia;25.344026;99.112244;Sino-Tibetan;sino1245;alive;ok;NA;2000;2000
yagu1244;Yagua;green;no;South America;-3.42913;-72.2186;Peba-Yagua;peba1241;alive;ok;AGR;5690;5700
yagu1244;Yagua;green;no;South America;-3.42913;-72.2186;Peba-Yagua;peba1241;alive;ok;AGR;5690;5700
yaku1245;Sakha;green;no;Eurasia;62;130;Turkic;turk1311;alive;ok;AGR;363000;450000
yama1264;Yag?ín;green;no;South America;-55.2748;-68.2648;Yamana;yama1264;just_extinct;ok;HG;1;0
yami1256;Yaminahua;green;no;South America;-9.8846;-71.5964;Pano-Tacanan;pano1259;alive;ok;AGR;1390;2729
yang1304;Yangliu;none;yes;Eurasia;25.22482;99.046326;Sino-Tibetan;sino1245;alive;ok;NA;7000;7000
yano1262;Yanom?ími;none;yes;South America;2.48999;-62.8522;Yanomamic;yano1268;alive;ok;HG;9000;6000
yaqa1246;Yaqay (Wairu Dialect);none;yes;Papunesia;-6.66632;139.249;Anim;anim1240;alive;ok;HG;10000;10000
yaqu1251;Yaqui;none;yes;North America;27.5;-110.25;Uto-Aztecan;utoa1244;alive;ok;AGR;14620;20640
yavi1244;Yavitero;green;no;South America;2.924844;-67.438886;Arawakan;araw1281;just_extinct;ok;AGR;0;0
yish1238;Yi (Xide);none;yes;Eurasia;25.04;100.51;Sino-Tibetan;sino1245;alive;ok;NA;NA;NA
youn1235;Younuo;none;yes;Eurasia;25.730893;110.115975;Hmong-Mien;hmon1336;alive;ok;HG;9720;9700
yunl1238;Yunlong;none;yes;Eurasia;25.9223745;99.0352884;Sino-Tibetan;sino1245;alive;ok;NA;NA;NA
yuwa1244;Yuwana;green;no;South America;5.63879;-65.4267;Hoti;yuwa1244;alive;ok;AGR;300;640
zaba1237;Kia;none;yes;Papunesia;-7.74311;158.753;Austronesian;aust1307;alive;ok;AGR;3360;3400
zaca1242;Chatino (Zacatepec variety);none;yes;North America;16.08;-97.3069;Otomanguean;otom1299;alive;ok;AGR;1000;300
zaiw1241;Atsi [Zaiwa];green;no;Eurasia;24.17;98.36;Sino-Tibetan;sino1245;alive;ok;AGR;110000;80000
zaiw1241;Zaiwa;none;yes;Eurasia;24.1726;98.3643;Sino-Tibetan;sino1245;alive;ok;AGR;110000;80000
zauz1238;Zaozou;none;yes;Eurasia;26.4572;98.8634;Sino-Tibetan;sino1245;alive;ok;AGR;2100;2100
zaza1245;Kilokaka;none;yes;Papunesia;-8.18719;159.255;Austronesian;aust1307;alive;ok;NA;10;10
zhou1234;Zhoucheng;none;yes;Eurasia;25.8958633;100.0987848;Sino-Tibetan;sino1245;alive;ok;NA;NA;NA
zizi1238;Fali Jilbu;none;yes;Africa;10.4689;13.5233;Afro-Asiatic;afro1255;alive;ok;NA;2800;6000
zuni1245;Zuni;none;yes;North America;35.0056;-108.782;Zuni;zuni1245;alive;ok;AGR;9650;9620
zuni1245;Zuni;none;yes;North America;35.0056;-108.782;Zuni;zuni1245;alive;ok;AGR;9650;9620
zuoj1238;Zhuang-Longzhou;green;no;Eurasia;22.4;106.9;Tai-Kadai;taik1256;alive;ok;AGR;1840000;1800000
