glottocode;name;glottocode_family;exists_blue;latitude;longitude;latitude_family;longitude_family;macroarea;status;subsistence;popsize_ethno;popsize_wiki
mand1436;Mandinka;mand1469;yes;12.8165233333;-15.6539466667;10.0743277412276;-6.697205429825;Africa;not endangered;AGR;1325000;1300000
masa1300;Masai;nilo1247;yes;-3.1419;36.4573;4.75;29.75;Africa;not endangered;AGR;1524000;1500000
midd1317;Middle English;indo1319;yes;51.65;-1.11;34;71.55;Eurasia;extinct;AGR;0;0
midd1343;Middle High German;indo1319;yes;48.254;10.599;34;71.55;Eurasia;extinct;AGR;0;0
misk1235;Mískito;misu1242;yes;15.1576;-84.2942;13.6654653333333;-85.1388111666667;North America;not endangered;AGR;143000;150000
mixe1288;Mixed Great Andamanese;grea1241;no;11.67;92.74;12;272.67;Eurasia;extinct;HG;55;
moha1256;Mohave;coch1271;no;34.8866;-114.599;32.3426727272727;-114.839454545455;North America;nearly extinct;;200;2000
muin1242;Muinane;bora1262;no;-0.8652;-72.4249;-1.4327295;-72.340983;South America;moribund;AGR;150;150
muru1274;Murui Huitoto;huit1251;no;-1.13669;-73.8331;-2.17;107.67;South America;shifting;AGR;1000;1000
naaa1244;Na (Lahu);sino1245;no;21.2701;100.214;26.1;94.75;Eurasia;not endangered;AGR;540850;600000
natc1249;Natchez;natc1249;yes;31.75;-91.33;31.75;-91.33;North America;extinct;AGR;6;6
nezp1238;Nez Perce;saha1239;yes;46.3073;-116.408;45.7462;-119.116;North America;nearly extinct;HG;35;20
ngar1287;Ngarluma;pama1250;yes;-20.9235;117.203;-12.17;142.49;Australia;moribund;HG;42;11
nort2770;North Fali;atla1278;yes;9.9249;13.6567;8.75;8.25;Africa;threatened;;16000;
nort2943;North Alaskan Inupiatun;eski1264;yes;69.582;-143.77;63.69;189.52;North America;moribund;HG;3000;
nort2968;Northern Sierra Miwok;miwo1274;yes;38.4179;-120.588;37.6638326428571;-121.637420285714;North America;extinct;;0;0
nort3298;Northern Lisu;sino1245;yes;26.91;98.94;26.1;94.75;Eurasia;not endangered;AGR;942700;940000
nucl1454;Yawa;yawa1259;yes;-1.77196;136.263;-1.843345;136.2795;Papunesia;not endangered;AGR;10000;10000
olde1238;Old English (ca. 450-1100);indo1319;yes;51.06;-1.31;34;71.55;Eurasia;extinct;AGR;0;0
oldh1241;Old High German (ca. 750-1050);indo1319;yes;52;10;34;71.55;Eurasia;extinct;AGR;0;0
oldi1245;Early Irish;indo1319;no;53;-8;34;71.55;Eurasia;extinct;AGR;0;0
oldn1244;Old Norse;indo1319;yes;63.42;10.38;34;71.55;Eurasia;extinct;AGR;0;0
onei1249;Oneida;iroq1247;yes;43.438742;-75.708106;42.75;103.83;North America;shifting;AGR;0;0
pana1310;Pa Na;hmon1336;yes;26.263819;110.096687;27;107;Eurasia;moribund;;;1000
pawn1254;Pawnee;cadd1255;yes;36.2862;-96.8937;33.33;86.5;North America;nearly extinct;AGR;10;2500
phol1237;Phola;sino1245;yes;23.4674;102.228;26.1;94.75;Eurasia;threatened;AGR;13000;25000
phuz1235;Phuza;sino1245;yes;23.05;103.4;26.1;94.75;Eurasia;threatened;;6000;
prus1238;Old Prussian;indo1319;yes;52.394;14.757;34;71.55;Eurasia;extinct;AGR;0;0
quil1240;Quileute;chim1311;no;47.9106;-124.603;47.912585;-123.8710725;North America;extinct;HG;0;500
rapa1245;Mangaia-Old Rapa;aust1307;yes;-27.6304;-144.338;23.76;120.98;Papunesia;nearly extinct;AGR;515;870
roto1249;Rotokas;nort2933;yes;-5.94339;155.154;-5.9815425;155.04875;Papunesia;threatened;AGR;11600;4300
rumu1243;Rumu;tura1263;yes;-7.17149;144.179;-7.08;323.58;Papunesia;not endangered;;1000;700
sahu1245;Sahu;nort2923;yes;1.00742;127.493;1.171046;127.756333333333;Papunesia;not endangered;AGR;7500;7500
sout2697;South Azerbaijani;turk1311;yes;36.5137;48.4302;56;125;Eurasia;not endangered;AGR;13813750;
sout2722;Southern Muji;sino1245;yes;22.87312;103.306087;26.1;94.75;Eurasia;threatened;AGR;26000;
sout2774;Southeast Ijo;ijoi1239;yes;4.44235;6.32192;4.785055;6.705971;Africa;threatened;AGR;2000000;72000
taro1264;Seediq;aust1307;yes;23.9032;121.358;23.76;120.98;Papunesia;nearly extinct;AGR;20000;20000
tere1278;Terei;sout2948;yes;-6.70051;155.745;-6.46766444444444;155.618666666667;Papunesia;not endangered;AGR;26500;27000
tima1241;Tima;katl1246;yes;11.7176;29.1632;11.683036;29.332831;Africa;shifting;;5000;3305
toar1246;Toaripi;nucl1580;yes;-8.07231;146.206;-8;325.83;Papunesia;not endangered;AGR;23000;23000
tokh1243;Tokharian B;indo1319;yes;41.65;82.9;34;71.55;Eurasia;extinct;AGR;0;0
tuni1252;Tunica;tuni1252;no;30.9888;-92.5403;30.9888;-92.5403;North America;extinct;AGR;9;32
wapp1239;Wappo;yuki1242;no;38.25;-122.5;39.04445;-122.898;North America;extinct;HG;0;0
wara1303;Warao;wara1303;no;7.50851;-59.3528;7.50851;-59.3528;South America;threatened;HG;32800;32800
waur1244;Waurá;araw1281;yes;-13.296;-53.6971;1;290.83;South America;shifting;AGR;320;320
west1506;Western Lalu;sino1245;yes;24.73;98.9;26.1;94.75;Eurasia;threatened;AGR;38000;
wint1259;Wintu;wint1258;no;39.7176;-122.445;39.9773;-122.318133333333;North America;extinct;;0;0
xico1235;Xicotepec De Juárez Totonac;toto1251;yes;20.6532;-97.7463;19.92;82.58;North America;not endangered;AGR;3000;3000
xinp1238;Xinping Nisu;sino1245;no;24.408;102.456;26.1;94.75;Eurasia;threatened;AGR;160000;
xish1235;Xishanba Lalo;sino1245;no;24.8709;100.711;26.1;94.75;Eurasia;threatened;AGR;213000;
yare1248;Yareba;yare1250;yes;-9.50651;148.605;-9.495658;148.4174;Papunesia;not endangered;AGR;750;1200
