cldf_id	cldf_glottocode	cldf_parameterReference	cldf_codeReference
tls-Zanaki	zana1238	GreenAndBlue	GreenAndBlue-None
tls-Zaramo	zara1247	GreenAndBlue	GreenAndBlue-None
tls-Zigua	zigu1242	GreenAndBlue	GreenAndBlue-None
tls-Zinza	zinz1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-amaimon	amai1246	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-amele	amel1241	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-anam	anam1247	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-anamgura	anam1248	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-anjam	anja1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-apali	apal1256	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-arandai-weriagar	aran1237	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-arawum	araw1272	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-asas	asas1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-atemble	atem1241	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-awyu-south	sout2941	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-bagupi	bagu1252	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-baimak	baim1245	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-bargam	barg1252	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-bau	bauu1244	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-bepour	bepo1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-bilakura	bila1257	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-biyom	biyo1244	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-bongu	bong1291	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-brem	brem1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-danaru	dana1254	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-gal	gall1278	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-ganglau	gang1270	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-garus	garu1246	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-gavak	dimi1244	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-girawa	gira1247	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-gumalu	guma1255	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-isebe	iseb1246	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-jilim	jili1241	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-kare	kare1341	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-kein	kein1239	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-kobol	kobo1248	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-korafe	kora1294	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-korak	kora1296	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-kowaki	kowa1245	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-maia-pila	maia1254	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-maia-saki	maia1254	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-mala	mala1494	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-malas	mala1495	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-male	male1291	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-matepi	mate1260	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-mauwake	mauw1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-mawak	mawa1266	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-mawan	mawa1267	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-miani	mian1254	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-moere	moer1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-moresada	more1258	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-mosimo	mosi1248	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-mum	mumm1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-munit	muni1257	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-murupi	muru1273	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-musak	musa1266	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-musar	musa1265	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-nake	nake1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-nend	nend1239	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-nobonob	nobo1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-ogea	ogea1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-pal	pall1244	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-pamosu	pamo1253	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-panim	pani1258	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-parawen	para1307	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-paynamar	payn1244	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-rapting	rapt1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-rempi	remp1241	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-saep	saep1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-sam	samm1244	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-samosa	samo1306	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-saruga	saru1243	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-sausi	saus1246	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-sihan	siha1245	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-sileibi	sile1255	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-silopi	silo1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-sinsauru	sins1241	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-siroi	siro1249	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-sop	sopp1247	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-sumau	suma1270	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-tauya	tauy1241	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-uare	uare1241	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-ukuriguma	ukur1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-urigina	urig1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-usan	usan1239	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-utarmbung	utar1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-utu	utuu1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-uya	uyaa1238	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-uyajitaya	dudu1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-wadaginam	wada1263	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-wagi	wagi1249	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-wamas	wama1247	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-wambon	wamb1259	GreenAndBlue	GreenAndBlue-False
transnewguineaorg-wanambre	wana1269	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-waskia	wask1241	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-watiwa	dump1243	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-waube	kwat1244	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-yaben	yabe1255	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-yabong	yabo1240	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-yarawata	yara1250	GreenAndBlue	GreenAndBlue-None
transnewguineaorg-yoidik	yoid1240	GreenAndBlue	GreenAndBlue-None
visserkalamang-kara1499	kara1499	GreenAndBlue	GreenAndBlue-True
wangbai-Dashi		GreenAndBlue	GreenAndBlue-None
wangbai-Ega	egab1234	GreenAndBlue	GreenAndBlue-None
wangbai-Enqi	enqi1234	GreenAndBlue	GreenAndBlue-None
wangbai-Jinman	nuji1238	GreenAndBlue	GreenAndBlue-None
wangbai-Jinxing		GreenAndBlue	GreenAndBlue-None
wangbai-Mazhelong		GreenAndBlue	GreenAndBlue-None
wangbai-Tuoluo	tuol1234	GreenAndBlue	GreenAndBlue-None
wangbai-Zhoucheng	zhou1234	GreenAndBlue	GreenAndBlue-None
wangbai-Gongxing		GreenAndBlue	GreenAndBlue-None
wold-Swahili	swah1253	GreenAndBlue	GreenAndBlue-False
wold-Iraqw	iraq1241	GreenAndBlue	GreenAndBlue-False
wold-Gawwada	gaww1239	GreenAndBlue	GreenAndBlue-False
wold-Hausa	haus1257	GreenAndBlue	GreenAndBlue-False
wold-Kanuri	cent2050	GreenAndBlue	GreenAndBlue-False
wold-TarifiytBerber	tari1263	GreenAndBlue	GreenAndBlue-True
wold-SeychellesCreole	sese1246	GreenAndBlue	GreenAndBlue-False
wold-Romanian	roma1327	GreenAndBlue	GreenAndBlue-False
wold-SeliceRomani	west2376	GreenAndBlue	GreenAndBlue-False
wold-LowerSorbian	lowe1385	GreenAndBlue	GreenAndBlue-False
wold-OldHighGerman	oldh1241	GreenAndBlue	GreenAndBlue-False
wold-Dutch	dutc1256	GreenAndBlue	GreenAndBlue-False
wold-English	stan1293	GreenAndBlue	GreenAndBlue-False
wold-KildinSaami	kild1236	GreenAndBlue	GreenAndBlue-False
wold-Bezhta	bezh1248	GreenAndBlue	GreenAndBlue-False
wold-Archi	arch1244	GreenAndBlue	GreenAndBlue-False
wold-Manange	mana1288	GreenAndBlue	GreenAndBlue-False
wold-Ket	kett1243	GreenAndBlue	GreenAndBlue-False
wold-Sakha	yaku1245	GreenAndBlue	GreenAndBlue-False
wold-Oroqen	oroq1238	GreenAndBlue	GreenAndBlue-False
wold-Japanese	nucl1643	GreenAndBlue	GreenAndBlue-False
wold-MandarinChinese	mand1415	GreenAndBlue	GreenAndBlue-False
wold-Thai	thai1261	GreenAndBlue	GreenAndBlue-False
wold-Vietnamese	viet1252	GreenAndBlue	GreenAndBlue-False
wold-WhiteHmong	hmon1333	GreenAndBlue	GreenAndBlue-True
wold-CeqWong	chew1245	GreenAndBlue	GreenAndBlue-False
wold-Malagasy	plat1254	GreenAndBlue	GreenAndBlue-False
wold-Takia	taki1248	GreenAndBlue	GreenAndBlue-False
wold-Hawaiian	hawa1245	GreenAndBlue	GreenAndBlue-False
wold-Gurindji	guri1247	GreenAndBlue	GreenAndBlue-True
wold-Yaqui	yaqu1251	GreenAndBlue	GreenAndBlue-False
wold-ZinacantanTzotzil	tzot1259	GreenAndBlue	GreenAndBlue-True
wold-Qeqchi	kekc1242	GreenAndBlue	GreenAndBlue-False
wold-Otomi	mezq1235	GreenAndBlue	GreenAndBlue-False
wold-Saramaccan	sara1340	GreenAndBlue	GreenAndBlue-False
wold-ImbaburaQuechua	imba1240	GreenAndBlue	GreenAndBlue-False
wold-Kalina	gali1262	GreenAndBlue	GreenAndBlue-False
wold-Hup	hupd1244	GreenAndBlue	GreenAndBlue-True
wold-Wichi	wich1264	GreenAndBlue	GreenAndBlue-True
wold-Mapudungun	mapu1245	GreenAndBlue	GreenAndBlue-False
yanglalo-Qingyun	xish1235	GreenAndBlue	GreenAndBlue-True
yanglalo-Shuizhuping	west1506	GreenAndBlue	GreenAndBlue-None
yanglalo-Diaocao	dong1286	GreenAndBlue	GreenAndBlue-False
yanglalo-Xuzhang	xuzh1234	GreenAndBlue	GreenAndBlue-None
yanglalo-Mangdi	sout3210	GreenAndBlue	GreenAndBlue-False
yanglalo-Yijiacun	ekaa1234	GreenAndBlue	GreenAndBlue-False
yanglalo-Yangliu	yang1304	GreenAndBlue	GreenAndBlue-False
yangyi-HaniLongwei	hani1248	GreenAndBlue	GreenAndBlue-False
yangyi-HaniQiepu	hani1248	GreenAndBlue	GreenAndBlue-False
yangyi-HaniLuchun	hani1248	GreenAndBlue	GreenAndBlue-False
yangyi-Haoni	honi1244	GreenAndBlue	GreenAndBlue-False
yangyi-LahuNa	naaa1244	GreenAndBlue	GreenAndBlue-True
yangyi-Ghomozo		GreenAndBlue	GreenAndBlue-False
yangyi-Kuansi	kuan1249	GreenAndBlue	GreenAndBlue-False
yangyi-Lavu	talu1238	GreenAndBlue	GreenAndBlue-None
yangyi-Talu	talu1238	GreenAndBlue	GreenAndBlue-None
yangyi-Xuzhang	xuzh1234	GreenAndBlue	GreenAndBlue-None
yangyi-WShanglizhuo	west1506	GreenAndBlue	GreenAndBlue-False
yangyi-Yangliu	yang1304	GreenAndBlue	GreenAndBlue-False
yangyi-CLeba	xish1235	GreenAndBlue	GreenAndBlue-False
yangyi-CEYongan	dong1286	GreenAndBlue	GreenAndBlue-False
yangyi-EDiaocao		GreenAndBlue	GreenAndBlue-False
yangyi-EHoushan		GreenAndBlue	GreenAndBlue-None
yangyi-ETaoshu		GreenAndBlue	GreenAndBlue-True
yangyi-Eka	ekaa1234	GreenAndBlue	GreenAndBlue-False
yangyi-SMangdi	sout3210	GreenAndBlue	GreenAndBlue-False
yangyi-CQingsheng	xish1235	GreenAndBlue	GreenAndBlue-True
yangyi-SEGaoping		GreenAndBlue	GreenAndBlue-False
yangyi-CChajiang	xish1235	GreenAndBlue	GreenAndBlue-None
yangyi-CQingyun	xish1235	GreenAndBlue	GreenAndBlue-True
yangyi-CLongjie	xish1235	GreenAndBlue	GreenAndBlue-True
yangyi-WYilu	west1506	GreenAndBlue	GreenAndBlue-None
yangyi-WShuizhuping	west1506	GreenAndBlue	GreenAndBlue-None
yangyi-WDutian	west1506	GreenAndBlue	GreenAndBlue-False
yangyi-CWachang	xish1235	GreenAndBlue	GreenAndBlue-False
yangyi-Lisu	nort3298	GreenAndBlue	GreenAndBlue-False
yangyi-CLolo	nanh1240	GreenAndBlue	GreenAndBlue-None
yangyi-ELolo	shua1253	GreenAndBlue	GreenAndBlue-None
yangyi-JingguLimi	limi1243	GreenAndBlue	GreenAndBlue-False
yangyi-Limi	limi1243	GreenAndBlue	GreenAndBlue-False
yangyi-Lipo	lipo1242	GreenAndBlue	GreenAndBlue-None
yangyi-Mongi	mond1267	GreenAndBlue	GreenAndBlue-None
yangyi-Alo	aluo1235	GreenAndBlue	GreenAndBlue-None
yangyi-KopoGepo	gepo1234	GreenAndBlue	GreenAndBlue-None
yangyi-Naso	wume1235	GreenAndBlue	GreenAndBlue-None
yangyi-Nasu	luqu1238	GreenAndBlue	GreenAndBlue-None
yangyi-LuowuNisu	luqu1238	GreenAndBlue	GreenAndBlue-False
yangyi-Nipu	wusa1235	GreenAndBlue	GreenAndBlue-None
yangyi-Nersu	wein1239	GreenAndBlue	GreenAndBlue-None
yangyi-Nise		GreenAndBlue	GreenAndBlue-None
yangyi-LaowuNisu	farn1234	GreenAndBlue	GreenAndBlue-False
yangyi-Noso		GreenAndBlue	GreenAndBlue-None
yangyi-Narsu	esha1238	GreenAndBlue	GreenAndBlue-None
yangyi-Neshu	xinp1238	GreenAndBlue	GreenAndBlue-None
yangyi-Nesu	xinp1238	GreenAndBlue	GreenAndBlue-None
yangyi-LopeAwuChen2010		GreenAndBlue	GreenAndBlue-None
yangyi-NNisu	xinp1238	GreenAndBlue	GreenAndBlue-True
yangyi-SNisu	sout2723	GreenAndBlue	GreenAndBlue-None
yangyi-Lidim		GreenAndBlue	GreenAndBlue-None
yangyi-NuosuHuangDai1992	yish1238	GreenAndBlue	GreenAndBlue-False
yangyi-Sodi	huil1243	GreenAndBlue	GreenAndBlue-None
yangyi-Senza	yish1238	GreenAndBlue	GreenAndBlue-None
yangyi-Yino	yinu1238	GreenAndBlue	GreenAndBlue-None
yangyi-Sani	sani1269	GreenAndBlue	GreenAndBlue-None
yangyi-AzhaazaPelkey2011	azha1235	GreenAndBlue	GreenAndBlue-False
yangyi-SanniSanie	sani1265	GreenAndBlue	GreenAndBlue-None
yangyi-Pholaypg	phol1237	GreenAndBlue	GreenAndBlue-False
yangyi-Phuzaypz	phuz1235	GreenAndBlue	GreenAndBlue-False
yangyi-SouthernMujiymc	sout2722	GreenAndBlue	GreenAndBlue-False
yangyi-HlephoPhowayhl	hlep1236	GreenAndBlue	GreenAndBlue-False
yangyi-Kazhuo	kats1235	GreenAndBlue	GreenAndBlue-False
yangyi-LawuXinpingShuitangJiuha	lawu1238	GreenAndBlue	GreenAndBlue-True
yangyi-Toloza	tang1372	GreenAndBlue	GreenAndBlue-None
yuchinese-mand1415	mand1415	GreenAndBlue	GreenAndBlue-False
zgraggenmadang-amaimon	amai1246	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-amele	amel1241	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-anam	anam1247	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-anamgura	anam1248	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-anjam	anja1238	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-apali	apal1256	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-arawum	araw1272	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-asas	asas1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-atemble	atem1241	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-bagupi	bagu1252	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-baimak	baim1245	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-bargam	barg1252	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-bau	bauu1244	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-bepour	bepo1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-bilakura	bila1257	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-biyom	biyo1244	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-bongu	bong1291	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-brem	brem1238	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-danaru	dana1254	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-faita	fait1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-gal	gall1278	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-ganglau	gang1270	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-garus	garu1246	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-gavak	dimi1244	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-girawa	gira1247	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-gumalu	guma1255	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-isebe	iseb1246	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-jilim	jili1241	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-kare	kare1341	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-kein	kein1239	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-kesawai	kesa1244	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-kobol	kobo1248	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-korak	kora1296	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-kowaki	kowa1245	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-mala	mala1494	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-malas	mala1495	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-male	male1291	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-matepi	mate1260	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-mauwake	mauw1238	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-mawak	mawa1266	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-mawan	mawa1267	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-miani	mian1254	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-migum	kolo1267	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-moere	moer1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-moresada	more1258	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-mosimo	mosi1248	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-mum	mumm1238	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-munit	muni1257	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-murupi	muru1273	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-musak	musa1266	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-musar	musa1265	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-nake	nake1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-nend	nend1239	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-nobonob	nobo1238	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-ogea	ogea1238	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-pal	pall1244	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-pamosu	pamo1253	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-panim	pani1258	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-paynamar	payn1244	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-pulabu	pula1267	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-rapting	rapt1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-rempi	remp1241	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-rerau	rera1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-saep	saep1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-sam	samm1244	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-samosa	samo1306	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-saruga	saru1243	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-sausi	saus1246	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-sihan	siha1245	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-sileibi	sile1255	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-silopi	silo1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-sinsauru	sins1241	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-siroi	siro1249	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-sop	sopp1247	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-sumau	suma1270	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-tauya	tauy1241	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-ukuriguma	ukur1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-urigina	urig1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-usan	usan1239	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-utarmbung	utar1238	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-utu	utuu1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-uya	uyaa1238	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-uyajitaya	dudu1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-wadaginam	wada1263	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-wagi	wagi1249	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-wamas	wama1247	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-wanambre	wana1269	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-waskia	wask1241	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-watiwa	dump1243	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-waube	kwat1244	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-yaben	yabe1255	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-yabong	yabo1240	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-yangulam	yang1298	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-yarawata	yara1250	GreenAndBlue	GreenAndBlue-None
zgraggenmadang-yoidik	yoid1240	GreenAndBlue	GreenAndBlue-None
logos-Venetianstd	vene1258	GreenAndBlue	GreenAndBlue-None
logos-Hindistd	hind1269	GreenAndBlue	GreenAndBlue-None
logos-Romagnolstd	roma1328	GreenAndBlue	GreenAndBlue-None
logos-Latinstd	lati1261	GreenAndBlue	GreenAndBlue-None
logos-Galicianstd	gali1258	GreenAndBlue	GreenAndBlue-None
