glottocode	clim_PC1	clim_PC2	clim_PC3	latitude	longitude
abui1241	-1.61357958505703	0.302086851243484	1.82443999187365	-8.31058	124.588
achu1247	3.79206841134434	0.224940707724345	-1.72613266347228	41.0979	-121.191
afro1255	-2.0039322353874	2.12668231997758	0.237313207932917	8.67	8.08
ahte1237	5.85569117057853	-2.24509749956029	-0.600181867137473	61.7068	-144.889
alab1237	0.39015418041549	0.557443471614769	-2.12156753691718	30.76738	-94.62848
algi1248	5.79465766562427	0.556250117217255	-0.0010064592280208	42.67	106.5
anci1242	2.91666607237926	-0.600345737675274	-1.53109994658018	39.8155	21.9129
anga1316	-0.591140659058506	1.89395330270629	-0.493259371690477	-22.85	-58.45
arab1268	-4.37307934329416	-0.897322673869692	-1.46229648861145	-1.96126	-75.0612
arap1274	5.0856551812494	-0.0332893106045843	-0.799605955185825	43.3879	-108.81
araw1281	-5.59165531070818	-1.87736513744861	-1.25383718236879	1	290.83
atak1252	0.296778095608424	-0.166928423542662	-2.38336169126777	30.9121	-93.0827
atha1245	4.88419812631885	-1.98130221311866	-0.695942047558602	53.75	236.5
atla1278	-2.14493961535857	2.35249159596397	0.208009347881115	8.75	8.25
aust1307	-1.5764286198474	-1.26091416243947	2.69273904161657	23.76	120.98
azha1235	0.940959905268799	-0.121388367481104	1.42236482352643	23.9	104.15
bain1263	-4.06819283754637	-1.81729947073029	-0.904291735503987	-4.67477333333333	151.919166666667
bank1259	0.0279527514851683	4.4290928903594	0.126576233886815	15.06	-2.92
beri1254	-5.07415373028458	-1.18760221850297	-1.03662201186269	-2.26904	138.866
boga1251	-0.478151762256789	3.07920715366176	0.67651910479237	10.188	12.936
bora1262	-4.51886950542513	-0.868170795420606	-1.19624953336183	-1.4327295	-72.340983
cadd1255	6.6466055849901	-2.34733401844424	1.15645083842263	33.33	86.5
cent2009	-0.697990594529951	0.422849778717668	1.21537375229834	23.95	108
chec1245	3.48618559418267	-0.210307074870768	-0.450857687756076	43.5	45.5
chib1249	-4.05541437690102	-2.57491806966814	0.748340204323789	9.75	276.58
chib1270	-4.42418023291285	0.177468106335526	-0.672472880798867	6.24999	-74.1666
chim1311	0.165514753515288	-3.5846857992529	0.500003761770904	47.912585	-123.8710725
chua1248	1.5187464272619	-0.829587927549959	1.66752772578833	26.55	105.1
chum1262	1.90455414056185	0.818293206835392	-0.176718422154517	34.5459	-119.963
chur1257	2.58322707080843	-0.50746988023643	-1.08290476913318	43.7171	22.8442
coch1271	2.23450252612633	4.06601538039267	-1.87474325642441	32.3426727272727	-114.839454545455
copa1236	-2.12121305696158	0.37556545441153	0.189978630457042	17.2157	-93.3183
dime1235	-1.19849679333027	0.451604437454661	-0.464885877138428	6.20951	36.3329
dogo1299	0.186566283321426	3.90433416609925	0.330132322798641	14.51624675	-3.27346845
east2326	3.64473850853498	-2.29189036332295	-0.0613174441862647	57.566	22.0262
east2363	-0.386466408328325	0.351130469812769	0.919430747017944	23.7	109
elam1244	1.80912161861712	4.24600738622341	-2.14248893922319	31.1833	48.2333
ende1235	-2.54194979245078	1.19691585258174	0.799210795149585	-8.957786	142.240799
esee1247	-3.57664582348691	-0.827239846191335	0.522105361200035	-9.09451	148.376
eski1264	5.5299752913492	-4.0037812401452	0.888106372128869	63.69	189.52
farn1234	1.23171477910031	-0.411901456810551	1.48030578565159	25.646902	99.684187
ghul1238	-0.286546960787718	3.64889525027465	0.225814664169553	11.6432	29.8122
guah1255	-3.81849936529542	1.10676510990131	0.160751746091892	5.81736	-68.9839
guhu1244	-3.45368773819554	-0.992780099445265	-0.278108206536033	-7.99922	147.228
halk1245	1.65826151042027	-2.60718790856493	-0.317369204886537	49.250402	-122.443668
high1242	-0.540239899028339	2.01122364691938	1.06359725400958	16.1849	-95.7301
hitt1242	3.42674728475393	-0.0890675977029187	-1.20272561260063	40	35
hlep1236	0.713545041741764	0.0522175569278381	1.480146567919	23.591	103.733
hmon1336	1.32739310911937	-0.295890074774223	0.957945528523188	27	107
homs1234	3.49854973740245	0.686166999319285	-1.54286975061093	40.1897	44.4839
honi1244	-0.407048006655582	0.392939429796924	1.84145877991607	23.2074	101.886
ijoi1239	-4.09197743157001	0.300132340565229	0.406005863483199	4.785055	6.705971
indo1319	1.90389701100057	2.67218532369844	-1.7373760676004	34	71.55
ines1240	1.86230520730666	1.18436250128479	-0.275757068226525	34.6169	-120.08
iris1253	2.00761621725739	-2.46155836284756	-0.391846068498354	53.2186	-7.61509
iroq1247	5.82449529545895	0.516029085480861	-0.221978895858176	42.75	103.83
jama1261	-3.10360699761946	0.910537505712581	0.714658879260293	-7.62223	-66.5662
juho1239	1.35703573409203	2.82660568895184	0.134830596068399	-19.688	20.7673
katc1249	-0.571113365371378	4.14073785982705	-0.125450997132108	10.8423	29.4914
kath1251	0.50066774117182	0.47183999770198	1.3796859597179	24.2	105.1
katl1246	-0.204874910389506	3.84390195788047	0.185795726047655	11.683036	29.332831
kats1235	0.949024055114204	0.0855100166260969	1.47178829356562	24.6	102.4
klam1254	3.98691956681682	-0.0764355930318648	-1.50344764563919	42.5861	-121.704
koia1260	-2.23180616369319	-2.69195327147287	1.62558407624954	-9.1999125	147.7626625
kuan1249	1.85171933772242	-0.441367778529155	1.62587243769772	26.45	103.33
kwaz1243	-1.55398536544317	1.61088595148627	0.815085676814512	-11.6667	-61.1833
kxaa1236	1.45709150286726	2.75307015593443	0.00792865565839563	-20.7386728333333	20.1579911666667
lako1247	5.14599953808302	-0.031291481473156	-0.65723143895105	46.3699	-103.95
