glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
indo1319	34	71.55	226	133	36	7837	402	40	362	178	178	320	119	391	66	9	54	156	47	109	95	-1.44009501479821	-2.50361470283514	-1.72658156395697	71.55
iton1250	-12.80431	295.64252	261	122	71	807	346	175	171	263	251	269	249	1447	246	7	70	669	40	330	83	1.92332617873467	-1.95645492234991	-0.412419818984566	-64.35748
iwai1246	-11.6	132.7225	276	93	62	1515	344	194	150	282	259	292	252	1338	315	0	108	896	5	295	6	2.27801375396417	-2.33939716825393	0.538396630234915	132.7225
japo1237	37	140	118	98	29	8287	287	-48	335	224	13	224	13	1419	196	49	47	579	161	579	161	-1.69191760133556	0.717508007910734	0.730647988240032	140
karo1304	41.8228	236.685	103	164	48	6130	308	-29	337	33	184	184	29	998	186	7	76	522	42	42	494	-2.18592418115537	-0.643504082528007	-0.4651212755821	-123.315
kart1248	3	42.5	291	140	75	1309	398	212	186	302	275	308	273	393	112	2	112	201	14	138	15	1.51569531937987	-4.06035594931045	-1.53101691857466	42.5
kawe1237	-52.51	288.0367	63	84	48	3236	159	-16	175	84	66	104	20	618	66	44	12	182	135	157	145	-2.87860176375276	2.09482596857057	-1.27142090507503	-71.9633
kore1284	37.5	128	101	121	29	10263	288	-118	406	221	-38	227	-38	1305	333	24	88	753	82	745	82	-2.16132043257924	-0.0229418467292404	2.58847439994375	128
kunz1244	-23	291	109	152	66	2741	215	-12	227	139	69	139	69	18	12	0	161	13	0	13	0	-2.81667408449931	-2.09585145890425	-0.128351098563777	-69
lara1258	-12.592844	130.884252	274	104	60	1699	346	175	171	282	248	292	248	1567	375	1	106	1018	6	432	6	2.44144131908683	-2.20977578822266	1.15219150540551	130.884252
leng1261	-22.7857	301.6058	244	123	57	3212	348	135	213	277	213	282	201	1113	143	27	43	416	110	398	118	0.913895480266878	-1.52018749845808	-1.16712374592244	-58.3942
