glottocode	latitude	longitude	longitude_180	UV_mean	UV_sd	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec
abkh1242	43.06	41.16	41.16	181.491684704185	40.1134684650378	126.318181818182	179.333333333333	138.181818181818	116.772727272727	144.545454545455	177.318181818182	208.590909090909	215.285714285714	218.45	220.809523809524	218.818181818182	213.47619047619
afro1255	8.67	8.08	8.08	219.978733766234	6.83486760478196	214.863636363636	226.238095238095	215.454545454545	213.454545454545	219.136363636364	221.272727272727	231.136363636364	205.428571428571	224.05	221.952380952381	222.090909090909	224.666666666667
ainu1252	43.63	142.46	142.46	175.912518037518	41.1463454230014	122.545454545455	164	127.727272727273	111.272727272727	142.181818181818	171.181818181818	201.272727272727	213.285714285714	215.5	215.809523809524	215.363636363636	210.809523809524
anim1240	-7.37	141.45	141.45	215.455537518038	7.75333771567125	219.136363636364	229.333333333333	218.363636363636	207.909090909091	220.636363636364	220.090909090909	205.818181818182	200.714285714286	218.25	218.238095238095	211.5	215.47619047619
arau1255	-39.4	287.975	-72.025	189.792947330447	37.1384158627026	226.909090909091	215.285714285714	221.409090909091	215.454545454545	223.818181818182	216.863636363636	195.227272727273	139.571428571429	128.55	140.238095238095	161.045454545455	193.142857142857
araw1281	1	290.83	-69.17	222.364700577201	4.93957803803734	225.090909090909	225.238095238095	223.954545454545	213.227272727273	226.045454545455	227.954545454545	225.772727272727	222.904761904762	219.95	219.761904761905	213	225.47619047619
atha1245	53.75	236.5	-123.5	155.456872294372	50.8031683622277	93.4090909090909	130.47619047619	112.909090909091	73.3636363636364	110.272727272727	146.136363636364	176.227272727273	210.952380952381	213.45	214.142857142857	203	181.142857142857
atla1278	8.75	8.25	8.25	219.978733766234	6.83486760478196	214.863636363636	226.238095238095	215.454545454545	213.454545454545	219.136363636364	221.272727272727	231.136363636364	205.428571428571	224.05	221.952380952381	222.090909090909	224.666666666667
aust1305	14.83	100.5	100.5	222.370274170274	4.90998204066084	223.318181818182	224.619047619048	222.727272727273	211.772727272727	217.727272727273	221.090909090909	221.272727272727	228.571428571429	226.4	226.666666666667	217.181818181818	227.095238095238
aust1307	23.76	120.98	120.98	217.419011544012	8.44278810498836	205.363636363636	221.190476190476	216.545454545455	204.545454545455	208	212.727272727273	213.545454545455	223.142857142857	225.5	227.761904761905	226.181818181818	224.52380952381
ayma1253	-17	291.5	-68.5	235.886616161616	11.8248329003891	249.727272727273	243.571428571429	246.681818181818	237.136363636364	249.5	245.136363636364	236.5	217.142857142857	223.7	224.47619047619	219.590909090909	237.47619047619
barb1265	0.72	281.87	-78.13	233.009613997114	5.5034099736443	235.181818181818	236.047619047619	234.363636363636	222.590909090909	237.772727272727	238.636363636364	237.545454545455	222.333333333333	230.65	230.904761904762	234.136363636364	235.952380952381
basq1248	43.2787	358.68378	-1.31622	180.427507215007	38.9663511437621	127.090909090909	171.619047619048	138	117.909090909091	145.136363636364	181.454545454545	207.454545454545	214	216.55	217.571428571429	215.772727272727	212.571428571429
bilu1245	-7.92	156.66	156.66	220.012878787879	5.5400746867484	220.045454545455	231.857142857143	220.636363636364	208.954545454545	219.545454545455	220.590909090909	218.045454545455	213.666666666667	221.2	221.285714285714	225.136363636364	219.190476190476
buna1274	-18.12	125.99	125.99	225.578373015873	7.90946184829625	233.772727272727	231.52380952381	233.454545454545	223.363636363636	233.227272727273	231.590909090909	225.863636363636	209.142857142857	216.75	217.666666666667	222.727272727273	227.857142857143
