glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
lara1258	-12.592844	130.884252	130.884252	19566	19022	20126	20935	19424	18776	19729	21548	23165	23923	23335	20960	1773.09078499049	20875.75
leng1261	-22.7857	301.6058	-58.3942	20401	19856	18339	15820	12947	11521	12662	14700	16532	19063	20323	21070	3377.68987309194	16936.1666666667
mang1423	-14.86	134.59	134.59	21861	21005	21372	20888	18976	18117	19162	21249	23545	24408	23951	22427	1989.19908315489	21413.4166666667
mani1293	-12.2675	134.225	134.225	20258	19929	20549	20283	18738	18050	19052	20677	22676	23477	22957	21113	1690.11981599656	20646.5833333333
mata1289	-22.5	297.5	-62.5	19507	18133	17950	15302	12528	11056	12694	15025	17391	18652	19917	20004	3114.45904028876	16513.25
maya1287	15.42	268.17	-91.83	17555	19435	21444	21337	20382	19178	19561	19550	17665	17077	16532	15722	1859.62505996138	18786.5
mirn1241	-16.34	133.06	133.06	22847	21894	22134	21355	19129	18044	19164	21400	23844	24812	24634	23672	2223.91408127857	21910.75
mong1349	48.78	108.67	108.67	5926	9726	14027	17642	20680	21165	18691	16430	13587	9814	6193	4755	5857.37180177615	13219.6666666667
morb1239	-2.85747	132.845	132.845	16903	18659	18813	17542	16499	15020	14966	16342	17934	18898	18843	17380	1410.90083784879	17316.5833333333
mose1249	-14.64448	292.16244	-67.83756	14042	15510	13871	13509	12865	12512	12973	15040	15996	16794	16491	15484	1482.95187553458	14590.5833333333
movi1243	-13.8115	294.3652	-65.6348	12248	13897	12782	12696	13894	13449	14204	15178	15739	15821	14529	13764	1155.24583176837	14016.75
nada1235	-0.13	291.6875	-68.3125	13769	13822	13863	12576	12257	12422	13451	15257	15945	15767	14956	13924	1256.48109814673	14000.75
nakh1245	42.5	46.5	46.5	5994	8762	12139	16148	19485	22124	22563	19742	15697	10613	6938	5301	6334.37753034737	13792.1666666667
nilo1247	4.75	29.75	29.75	19516	20039	19423	18259	18259	16805	14954	16173	17810	17303	17896	19076	1487.20833402314	17959.4166666667
