glottocode	longitude	latitude	dist2ocean	dist2lakes	dist2rivers	dist2water
abkh1242	41.16	43.06	24.2159860348225	10.6543141117877	8.3433403252611	8.3433403252611
afro1255	8.08	8.67	409.120471651638	43.8169033411834	57.8150462156447	43.8169033411834
ainu1252	142.46	43.63	73.5549850670275	7.48191656111097	16.8971957930117	7.48191656111097
anim1240	141.45	-7.37	144.909261056829	10.3184355405247	4.92623228599824	4.92623228599824
arau1255	287.975	-39.4	98.4897544644461	9.38314980200735	15.4584805221253	9.38314980200735
araw1281	290.83	1	892.155071279839	114.265817594759	4.52801517652573	4.52801517652573
atha1245	236.5	53.75	255.689977817981	4.2342199086337	21.9564345816732	4.2342199086337
atla1278	8.25	8.75	418.071437755403	44.1083506388595	37.7216500209686	37.7216500209686
aust1305	100.5	14.83	156.748759712512	6.9583910444455	6.9583910444455	6.9583910444455
aust1307	120.98	23.76	53.8608719911084	8.34977572489374	4.02287600670104	4.02287600670104
ayma1253	291.5	-17	239.068875294241	23.591286875436	31.5675501107777	23.591286875436
barb1265	281.87	0.72	85.5501207524655	25.1589060848516	4.32706029473336	4.32706029473336
basq1248	358.68378	43.2787	32.8044314779917	17.9205212245356	7.42793612896007	7.42793612896007
bilu1245	156.66	-7.92	15.0157147187949	39.891250236402	406.410065527077	15.0157147187949
buna1274	125.99	-18.12	207.383000840055	143.496888845807	16.7717224115212	16.7717224115212
buru1296	74.82	36.2161	1363.67291511757	11.2709033030067	4.20436697758501	4.20436697758501
cari1283	299.5	-0.5	787.20340872171	60.4755333786568	141.817836032254	60.4755333786568
cayu1262	294.5178	-13.2482	761.197938189584	8.430913183894	25.6056274203072	8.430913183894
jiva1245	281.81	-3.45	164.132460429409	47.565669186114	27.0424647352298	27.0424647352298
chib1249	276.58	9.75	46.466427335529	24.4774045292711	35.1260130100596	24.4774045292711
choc1280	282.83	6.83	26.8668352786893	20.9345754622159	26.0006370728391	20.9345754622159
chon1288	289.81	-49.8675	100.95589989661	79.9938415921891	35.9531615397596	35.9531615397596
chuk1271	165	61	59.2250773845648	26.3260961781539	66.5652054370473	26.3260961781539
cofa1242	282.9357	0.276675	201.456592972951	24.4974492846335	4.39438897628255	4.39438897628255
drav1251	79.92	21.53	523.805049600885	4.75834715547682	4.75834715547682	4.75834715547682
east1459	134	-1.5	23.2443129541426	2.943424466849	66.5836861495173	2.943424466849
elam1244	48.2333	31.1833	91.1805486673004	23.2988033578276	17.9021960127997	17.9021960127997
eski1264	189.52	63.69	10.734219428244	30.4571211059247	30.4571211059247	10.734219428244
garr1260	137.665	-18.05	138.107751601045	74.3156181964198	33.4398560484594	33.4398560484594
giim1238	132.9533	-12.6667	60.2536272954144	2.4618694767766	14.0696907508368	2.4618694767766
guai1249	299.78	-25.12	1016.42356339296	22.2740651108396	239.424709845554	22.2740651108396
gunw1250	134.1	-13.5	174.375347093951	19.4597224766832	147.565709827626	19.4597224766832
haid1248	227.955	53.63	11.0904215181034	0.505467206074431	5.45920205787498	0.505467206074431
hadz1240	35.05	-3.83	456.037795467819	6.44009070245139	92.0975765680316	6.44009070245139
hmon1336	107	27	587.586034456529	3.79326898219312	40.5894841093244	3.79326898219312
yuwa1244	294.5733	5.63879	471.172524341657	102.623959208251	88.7311920377566	88.7311920377566
indo1319	71.55	34	1033.75626224075	26.3214254937191	6.51740713792437	6.51740713792437
iton1250	295.64252	-12.80431	881.885048184555	11.2183041158562	28.1265677402239	11.2183041158562
iwai1246	132.7225	-11.6	4.39973862489959	50.524511409	38.3839319982003	4.39973862489959
japo1237	140	37	75.4809003041219	7.97582660584706	17.68131141058	7.97582660584706
karo1304	236.685	41.8228	52.5383330916786	7.4698116752189	5.33520540439842	5.33520540439842
kart1248	42.5	3	266.221469200207	103.817905828845	78.2733463281579	78.2733463281579
kawe1237	288.0367	-52.51	29.2583196774633	33.6747745521939	99.953742596773	29.2583196774633
kore1284	128	37.5	77.5552601285114	6.0911392863553	5.90794728133717	5.90794728133717
kunz1244	291	-23	104.162320298338	40.0266917857119	80.2879107966764	40.0266917857119
lara1258	130.884252	-12.592844	12.3668033520347	12.8337322740355	33.2934237031603	12.3668033520347
leng1261	301.6058	-22.7857	1041.19195565741	6.70279658176943	54.6409296021145	6.70279658176943
mang1423	134.59	-14.86	106.103126128336	101.969920768173	5.36111572923426	5.36111572923426
mani1293	134.225	-12.2675	38.5575162305343	9.21164331913801	78.3663220950587	9.21164331913801
mata1289	297.5	-22.5	771.602987895538	36.0840983521831	6.84395532548213	6.84395532548213
maya1287	268.17	15.42	75.4099898826585	64.551372575844	55.9196500353519	55.9196500353519
mirn1241	133.06	-16.34	286.263663125622	53.8784868806441	144.025532700941	53.8784868806441
mong1349	108.67	48.78	1297.0488436943	29.8281207208686	122.357294353638	29.8281207208686
morb1239	132.845	-2.85747	13.9438797059175	123.131591522178	62.8051092321917	13.9438797059175
mose1249	292.16244	-14.64448	471.575351876793	17.1998976814003	26.6686895833466	17.1998976814003
movi1243	294.3652	-13.8115	705.044803187217	13.631498084262	13.631498084262	13.631498084262
nada1235	291.6875	-0.13	1037.86083256115	169.775415544773	5.64977855137297	5.64977855137297
nakh1245	46.5	42.5	88.9687498696155	19.7916131972448	34.2675626390978	19.7916131972448
nilo1247	29.75	4.75	1427.12391635841	28.5525465351704	170.163550190579	28.5525465351704
nubi1251	31.75	18.76	557.891119626592	23.5154829651169	19.1126552283167	19.1126552283167
nucl1709	143.09	-5.43	188.161594982479	22.3340671134747	121.265978462346	22.3340671134747
